"","gender","age","class","embarked","country","fare","sibsp","parch","survived","ageD","status","family"
"1","male",42,"3rd","S","United States",7.11,0,0,"no","40-49","1",1
"2","male",13,"3rd","S","United States",20.05,0,2,"no","10-19","1",3
"3","male",16,"3rd","S","United States",20.05,1,1,"no","10-19","1",3
"4","female",39,"3rd","S","England",20.05,1,1,"yes","30-39","1",3
"5","female",16,"3rd","S","Norway",7.13,0,0,"yes","10-19","1",1
"6","male",25,"3rd","S","United States",7.13,0,0,"yes","20-29","1",1
"7","male",30,"2nd","C","France",24,1,0,"no","20-29","1",2
"8","female",28,"2nd","C","France",24,1,0,"yes","20-29","1",2
"9","male",27,"3rd","C","Lebanon",18.1509,0,0,"yes","20-29","1",1
"10","male",20,"3rd","S","Finland",7.1806,0,0,"yes","10-19","1",1
"11","male",30,"3rd","S","Sweden",7.05,0,0,"no","20-29","1",1
"12","male",27,"3rd","S","England",8.01,0,0,"no","20-29","1",1
"13","female",40,"3rd","S","Sweden",9.0906,1,0,"no","30-39","1",2
"14","male",0.8333333333,"3rd","S","England",9.07,0,1,"yes","0-9","1",2
"15","female",18,"3rd","S","England",9.07,0,1,"yes","10-19","1",2
"16","male",35,"2nd","S","England",13,0,0,"no","30-39","1",1
"17","male",25,"3rd","S","England",7.1709,0,0,"no","20-29","1",1
"18","male",19,"3rd","S","Finland",7.1806,0,0,"no","10-19","1",1
"19","male",24,"3rd","S","Argentina",7.01,0,0,"no","20-29","1",1
"20","male",25,"3rd","S","Argentina",7.01,0,0,"no","20-29","1",1
"21","female",29,"1st","S","United States",211.6009,0,0,"yes","20-29","1",1
"22","male",39,"3rd","S","England",8.01,0,0,"no","30-39","1",1
"23","male",0.9166666667,"1st","S","Canada",151.16,1,2,"yes","0-9","1",4
"24","female",2,"1st","S","Canada",151.16,1,2,"no","0-9","1",4
"25","male",30,"1st","S","Canada",151.16,1,2,"no","20-29","1",4
"26","female",25,"1st","S","United States",151.16,1,2,"no","20-29","1",4
"27","male",18,"3rd","S","England",8.06,0,0,"no","10-19","1",1
"28","male",19,"3rd","C","Lebanon",7.0407,0,0,"no","10-19","1",1
"29","female",19,"3rd","S","Denmark",7.1701,1,0,"yes","10-19","1",2
"30","male",33,"3rd","S","Norway",22.1006,0,0,"no","30-39","1",1
"31","male",47,"1st","S","United States",26.11,0,0,"yes","40-49","1",1
"32","male",4,"3rd","S","Sweden",31.0506,4,2,"no","0-9","1",7
"33","female",6,"3rd","S","Sweden",31.0506,4,2,"no","0-9","1",7
"34","female",2,"3rd","S","Sweden",31.0506,4,2,"no","0-9","1",7
"35","female",16,"3rd","S","Finland",7.1806,4,2,"yes","10-19","1",7
"36","female",38,"3rd","S","Sweden",7.1506,4,2,"no","30-39","1",7
"37","female",9,"3rd","S","Sweden",31.0506,4,2,"no","0-9","1",7
